id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4312204649,,2790,,Giovanni Giachetti|José Luis de la Vara|Beatriz Marín,https://openalex.org/A5040891202|https://openalex.org/A5048960951|https://openalex.org/A5043484651,https://orcid.org/0000-0003-2809-5120|https://orcid.org/0000-0003-1813-398X|https://orcid.org/0000-0001-8025-0023,CL|ES|ES|ES,University of Castilla-La Mancha|Universidad Andrés Bello|University of Castilla-La Mancha|Universitat Politècnica de València,https://openalex.org/I79189158|https://openalex.org/I13897259|https://openalex.org/I79189158|https://openalex.org/I60053951,True|False|False,cc-by-nc-nd,0.87515657,7,https://openalex.org/I13897259|https://openalex.org/I79189158,Mastering Agile Practice Adoption through a Model-Driven Approach for the Combination of Development Methods,https://doi.org/10.1007/s12599-022-00785-5,Corporación de Fomento de la Producción|Irish Research eLibrary|European Commission|Electronic Components and Systems for European Leadership|Junta de Comunidades de Castilla-La Mancha|Horizon 2020 Framework Programme|European Regional Development Fund|Agencia Estatal de Investigación|European Social Fund,1.5934,False,en,True,green,Business & Information Systems Engineering,https://openalex.org/S27339233,1867-0202,journal,Software Engineering Techniques and Practices,2022-12-24,2022,article
https://openalex.org/W3170079371,,,,Tomas Vera|Daniel Perovich|Sergio F. Ochoa,https://openalex.org/A5007376767|https://openalex.org/A5073118748|https://openalex.org/A5076957708,|https://orcid.org/0000-0003-1227-6621|https://orcid.org/0000-0002-0431-8767,CL|CL|CL,Zenta Group (Chile)|University of Chile|University of Chile,https://openalex.org/I4210137078|https://openalex.org/I69737025|https://openalex.org/I69737025,True|False|False,,0.84812634,6,https://openalex.org/I4210137078,An Instrument to Define the Product Scope at Preselling Time,https://doi.org/10.1109/cscwd49262.2021.9437717,,1.3771,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2021-05-05,2021,article
https://openalex.org/W2947141126,,,,Marcus Wolf|Christian Erfurth,https://openalex.org/A5041562548|https://openalex.org/A5040700168,https://orcid.org/0000-0001-8880-2136|https://orcid.org/0000-0003-2761-3985,DE|DE,Carl Zeiss (Germany)|Carl Zeiss (Germany)|Ernst Abbe University of Applied Sciences Jena,https://openalex.org/I1302207122|https://openalex.org/I1302207122|https://openalex.org/I4210107832,True|False,,0.09160468,4,https://openalex.org/I1302207122,Knowledge Management for the Digital Transformation of Enterprises – Literature Based Trend Analysis,https://doi.org/10.1007/978-3-030-22482-0_11,,0.0,False,en,False,closed,Communications in computer and information science,https://openalex.org/S2764900261,1865-0929,book series,Digital Transformation in Industry,2019-01-01,2019,book-chapter
https://openalex.org/W2976069563,"Knowledge Management (KM) is responsible for using the intellectual resources of an organization. KM principles are both determining and effective factors for the software product quality. Several KM process have been proposed in the literature. However, for a KM initiative to be successful, it is important to consider the current state of KM activities in a company. In this context, the objective of this work is to measure KM activities in software engineering companies by means of a tool that automates the process of KM diagnosis. This paper presents the Software Engineering KNOWledge management diagnosis (SEKNOW) tool, its main functionalities, the potential users profile and examples of use. In addition, we show how the architecture was implemented in order to make the tool extensible to multiple diagnostics and how the companies can employ the tool to fetch data to their systems. Finally, we present similar tools and compare their functionalities.",,,Vinicius dos Santos|João Gabriel Salgado|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5042660497|https://openalex.org/A5103868684|https://openalex.org/A5050603863|https://openalex.org/A5043877845|https://openalex.org/A5042368174,https://orcid.org/0000-0002-0357-8823||https://orcid.org/0000-0002-5425-145X|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|PE|BR|BR|BR|BR,Universidad San Pedro|Brazilian Society of Computational and Applied Mathematics|Universidade de São Paulo|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Federal de São Paulo|National Institute for Space Research,https://openalex.org/I4210131481|https://openalex.org/I4210131883|https://openalex.org/I17974374|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I88273585|https://openalex.org/I80849659,True|False|False|False|False,,0.83312965,4,https://openalex.org/I17974374|https://openalex.org/I4210131481|https://openalex.org/I4210131883,A Tool for Automation of Knowledge Management Diagnostics in Software Development Companies,https://doi.org/10.5753/cbsoft_estendido.2019.7662,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Conselho Nacional de Desenvolvimento Científico e Tecnológico,1.0175,False,en,True,gold,,,,,Software Engineering Techniques and Practices,2019-09-25,2019,article
https://openalex.org/W4388197855,,,,Evelin Fragoso|Luisa F. Villa|Lillyana María Giraldo Marín,|https://openalex.org/A5005736732|https://openalex.org/A5076177476,https://orcid.org/0009-0002-7667-7408|https://orcid.org/0000-0003-2014-7643|https://orcid.org/0000-0003-3496-6455,CO||,Universidad de Medellín||,https://openalex.org/I4210133585||,True|False|False,,0.87630185,1,https://openalex.org/I4210133585,"Strategies, Information Technologies and Models for Knowledge Management in Software Development Companies: A Systematic Review of the Literature",https://doi.org/10.1007/978-3-031-46739-4_34,,1.8734,False,en,False,closed,Communications in computer and information science,https://openalex.org/S2764900261,1865-0929,book series,Knowledge Management and Sharing,2023-01-01,2023,review
https://openalex.org/W4405672011,,,,Daniela de Castro Pereira Alves|Deivid José Smek|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5023050521|https://openalex.org/A5115578628|https://openalex.org/A5013949373|https://openalex.org/A5043877845|https://openalex.org/A5042368174,|https://orcid.org/0000-0003-1865-8620|https://orcid.org/0000-0001-7262-7863|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Instituto Nacional de Pesquisas Espaciais,https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,0.81346548,1,https://openalex.org/I1283613182,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,https://doi.org/10.1145/3701625.3701652,,0.746,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2024-11-05,2024,article
https://openalex.org/W4319599813,"Agile software development has enhanced software quality assurance from merely considering it as fulfilling the needs of clients, verification, and validation. Agile development innovatively unlocks the novel horizons in software quality assurance. Agility in software development is a step ahead of the conventional development method that aims to meet the clients' changing requirements until the product deployment. This chapter systematically analyses software development agile methodologies from the viewpoint of software quality assurance and presents a technique to understand similarities in diverse agile processes. The understanding of the agile software development methodology is presented from the different perspectives as theoretical, scientific, and contextual. Even though software development projects that incorporate agile methodologies have extended the margins that cannot be overlooked in the context of product relevance or timely delivery, few are following this innovative methodology of software development because of not having a clear understanding of core agile methodologies. Therefore, this chapter comprehensively defines agile methodologies and reveals the role of agile methodologies over the traditional approaches in the perspective of software quality assurance. Next, a technique is presented that will expose agile methods viz . scrum, crystal methodology, lean development, Kanban, extreme programming, etc. using a new approach and discuss the adoption apprehensions of agile methodologies. The idea of the proposed technique is to explore each state of art agile methodology focusing on core values and practices and present to incorporate an additional layer in agile projects for quality assurance. The intent is to utilize the expert's knowledge for software process improvement, resulting in better product quality. The subsequent sections of the chapter will cover the issues and controversies in agile software development that are the grey areas to agile methodology related to innovative thinking, cost of projects developed using agile methodologies, etc. The chapter finally concludes with a discussion on the challenges in agile software development.",,,Mitali Chugh|Neeraj Chugh,https://openalex.org/A5069038247|https://openalex.org/A5037200795,https://orcid.org/0000-0002-1777-2387|,IN|IN,University of Petroleum and Energy Studies|University of Petroleum and Energy Studies,https://openalex.org/I5847235|https://openalex.org/I5847235,True|False,,,2,https://openalex.org/I5847235,A Deep Drive into Software Development Agile Methodologies for Software Quality Assurance,https://doi.org/10.1002/9781119896838.ch12,,,False,en,True,gold,,,,,Software Engineering Techniques and Practices,2023-02-08,2023,other
https://openalex.org/W3181023605,,,,José Rafael García-González|Alexis Rafael Messino Soza|Paola Andrea Sánchez|Manuel Alfonso Garzón Castrillon,https://openalex.org/A5037407500|https://openalex.org/A5024159092|https://openalex.org/A5101740606|https://openalex.org/A5068456076,https://orcid.org/0000-0002-3365-6095||https://orcid.org/0000-0002-3320-016X|https://orcid.org/0000-0001-9009-3324,CO|CO|CO|CO,Universidad Simón Bolívar|Universidad Simón Bolívar|Universidad Simón Bolívar|Universidad Simón Bolívar,https://openalex.org/I4210132036|https://openalex.org/I4210132036|https://openalex.org/I4210132036|https://openalex.org/I4210132036,True|False|False|False,,0.13365024,0,https://openalex.org/I4210132036,Knowledge management and dynamic capabilities based on knowledge in companies in the IT sector. An epistemic analysis about it,https://doi.org/10.23919/cisti52073.2021.9476300,,0.0,False,en,False,closed,,,,,Competitive and Knowledge Intelligence,2021-06-23,2021,article
https://openalex.org/W4320806718,"As empresas de desenvolvimento de software apresentam atividades que geram uma quantidade considerável de conhecimento. Os princípios da Gestão do Conhecimento (GC) auxiliam no processo de aprendizagem organizacional. Para ser efetiva, adotam-se práticas que favoreçam a criação e o aprendizado individual. Através do modelo das Sete Dimensões da GC (SDGC) é possível compreender a GC a partir das práticas gerenciais. O objetivo geral deste trabalho é analisar as práticas gerenciais percebidas pela indústria de software do estado do Paraná. A metodologia é uma pesquisa exploratória quantitativa, com a utilização de um questionário e análises estatística dos dados coletados.",,,Guilherme Augusto dos Reis Martins|Érica Ferreira de Souza,https://openalex.org/A5082072909|https://openalex.org/A5103024579,|https://orcid.org/0000-0003-4274-027X,BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná,https://openalex.org/I1283613182|https://openalex.org/I1283613182,True|False,,0.22603394,0,https://openalex.org/I1283613182,Um estudo do modelo das Sete Dimensões da Gestão do Conhecimento em indústrias de software,https://doi.org/10.5753/sbqs_estendido.2022.227660,,0.0,False,pt,True,gold,,,,,Business and Management Studies,2022-11-07,2022,article
https://openalex.org/W4390650899,"Information in organizations needs to be managed to gain a competitive advantage in competitions. E-commerce, one of the most prominent industries in Indonesia, has dynamic market conditions that frequently change requirements and recent layoffs, which can harm the companies if not correctly managed. Knowledge and information usually stored in a knowledge management system (KMS) are essential to negate this, and Agile software development methodologies can manage frequent requirement changes. However, a study about KMS's success in Agile teams, primarily e-commerce, needs to be conducted to know if KMS can help companies sustain their business in Indonesia. This research analyses the KMS success in Indonesia's e-commerce companies that use Agile as their software development methodologies. This study used a quantitative approach with 31 respondents who worked or previously worked in an e-commerce company in Indonesia, using Agile as software development methodologies and experienced using KMS daily. Data was processed and analyzed using the Partial Least Square-Structural Equation Modeling (PLS-SEM) and SmartPLS tools. The results of this study indicate that KMS net benefits in Agile teams in E-commerce in Indonesia are influenced by the user's intentions to use and user satisfaction when using the KMS.",100,100,Agas Yanpratama|Teguh Raharjo,https://openalex.org/A5093691041|https://openalex.org/A5065207687,|https://orcid.org/0009-0009-0213-6423,ID|ID,University of Indonesia|University of Indonesia,https://openalex.org/I29617571|https://openalex.org/I29617571,True|False,cc-by-sa,0.40171163,0,https://openalex.org/I29617571,Analysis The Success of Knowledge Management in Agile Team Study Case: Ecommerce in Indonesia,https://doi.org/10.33022/ijcs.v12i6.3515,,0.0,False,en,True,gold,Indonesian Journal of Computer Science,https://openalex.org/S4210234583,2302-4364,journal,SMEs Development and Digital Marketing,2023-12-30,2023,article
https://openalex.org/W4398234833,"Context: Effective Knowledge Management (KM) is vital for tech companies where developers frequently switch, risking the loss of valuable experience. Diagnosing its current state, assessing practices, and understanding applied methodologies in organizations is essential to succeed in KM. Problem: Given the dynamism witnessed in KM, a Systematic Literature Review (SLR) is necessary, and we found an outdated SLR on this topic until 2018. Objective: We extended the SLR to identify the current state-of-the-art KM within organizations and research niches to accurately depict the current management practices. Method: We extended the 2018 SLR, incorporating two additional databases to update this review and allow us to select new studies produced after the original review. IS Theory: This work was conceived under the auspices of the theory of organizational knowledge creation, aiming to understand the influence of KM on the development of information systems (IS) today. Summary of Results: We evidenced 29 studies on KM Diagnosis in software development organizations. Conclusion: Results show significant changes in applying learning to organizational culture through KM. Internal techniques, not tools or literature models, are now prevalent in km development. Agile methodology is a central focus in KM studies. The same holds for software architectures, with minimal application of KM in their selection and development. Contributions and Impact in the IS area: We believe in identifying KM strategies that facilitate the formation of new teams, transmitting knowledge and experiences, developing new products, and maintaining existing ISs.",,,Wesley da Silva Souza|Williamson Silva|Gilleanes Thorwald Araujo Guedes,https://openalex.org/A5073593469|https://openalex.org/A5007653210|https://openalex.org/A5065070393,https://orcid.org/0009-0009-4995-2129|https://orcid.org/0000-0003-1849-2675|https://orcid.org/0000-0001-5457-2600,BR|BR|BR,Universidade Federal do Pampa|Universidade Federal do Pampa|Universidade Federal do Pampa,https://openalex.org/I72872986|https://openalex.org/I72872986|https://openalex.org/I72872986,True|False|False,cc-by,0.09204738,0,https://openalex.org/I72872986,Knowledge Management Diagnosis in Software Organizations: A Systematic Literature Review Extension,https://doi.org/10.1145/3658271.3658273,Universitas Brawijaya,0.0,False,en,True,green,,,,,Software Engineering Techniques and Practices,2024-05-20,2024,article
https://openalex.org/W4399267883,,5000,,Anelis Pereira-Vale|Tomás Vera|Daniel Perovich|Sergio F. Ochoa|Fabiane Barreto Vavassori Benitti,https://openalex.org/A5063039662|https://openalex.org/A5102868340|https://openalex.org/A5073118748|https://openalex.org/A5076957708|https://openalex.org/A5028834609,https://orcid.org/0000-0002-8092-3176|https://orcid.org/0000-0002-6700-313X|https://orcid.org/0000-0003-1227-6621|https://orcid.org/0000-0002-0431-8767|https://orcid.org/0000-0003-2747-9931,CL|CL|CL|CL|BR,University of Chile|Zenta Group (Chile)|University of Chile|University of Chile|University of Chile|Universidade Federal de Santa Catarina,https://openalex.org/I69737025|https://openalex.org/I4210137078|https://openalex.org/I69737025|https://openalex.org/I69737025|https://openalex.org/I69737025|https://openalex.org/I4104125,True|False|False|False|False,,0.21374652,0,https://openalex.org/I69737025,An Interactive Visual Instrument to Address the Scoping of Bespoke Information Systems,https://doi.org/10.1007/978-3-031-60107-1_18,,0.0,False,en,False,closed,Lecture notes in computer science,https://openalex.org/S106296714,0302-9743,book series,Usability and User Interface Design,2024-01-01,2024,book-chapter
https://openalex.org/W4414984663,"The evaluation of Knowledge Transfer (KT) processes is essential for promoting organizational learning, enhancing operational efficiency, and fostering innovation. However, existing tools described in the literature offer limited support to organizations in this area. In general, knowledge about these tools remains unsystematized, lacks empirical validation, and is not widely adopted in practice. This article presents an overview of the key features of KnowEval, a decision support tool designed to recommend appropriate processes for KT evaluation based on strategic input variables. Furthermore, we describe the structured and dynamic database that enables the continuous integration of new evaluation processes. Finally, we present the validation results of KnowEval, using scenarios derived from an exploratory review of the literature. Video Available on: https://zenodo.org/records/15485087",,,Jacqueline Ferreira|Williby Ferreira|Juliana Saraiva|Sérgio Soares,https://openalex.org/A5022859134|https://openalex.org/A5000523359|https://openalex.org/A5070252940|https://openalex.org/A5029015672,https://orcid.org/0000-0003-0534-0322||https://orcid.org/0000-0002-3857-1111|https://orcid.org/0000-0002-4428-2535,||BR|,||Universidade Federal da Paraíba|,||https://openalex.org/I169045520|,True|False|False|False,,0.31347584,0,,KnowEval: A Tool for Supporting Knowledge Transfer Evaluation,https://doi.org/10.5753/sbes.2025.11170,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Conselho Nacional de Desenvolvimento Científico e Tecnológico,0.0,False,en,True,gold,,,,,Knowledge Management and Sharing,2025-09-22,2025,article
