Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Gong, Jingzhi; Chen, Tao; ",Deep configuration performance learning: A systematic survey and taxonomy,ACM Transactions on Software Engineering and Methodology,34,1,1-62,2024,"ACM New York, NY"
"Kotti, Zoe; Galanopoulou, Rafaila; Spinellis, Diomidis; ",Machine learning for software engineering: A tertiary study,ACM Computing Surveys,55,12,1-39,2023,"ACM New York, NY"
"Acher, Mathieu; Duarte, José Galindo; Jézéquel, Jean-Marc; ",On programming variability with large language model-based assistant,Proceedings of the 27th ACM International Systems and Software Product Line Conference-Volume A,,,8-14,2023,
"Iqbal, Md Shahriar; Krishna, Rahul; Javidian, Mohammad Ali; Ray, Baishakhi; Jamshidi, Pooyan; ",Unicorn: Reasoning about configurable system performance through the lens of causality,Proceedings of the Seventeenth European Conference on Computer Systems,,,199-217,2022,
"Martin, Hugo; Acher, Mathieu; Pereira, Juliana Alves; Lesoil, Luc; Jézéquel, Jean-Marc; Khelladi, Djamel Eddine; ",Transfer learning across variants and versions: The case of linux kernel size,IEEE Transactions on Software Engineering,48,11,4274-4290,2021,IEEE
"Suhaim, Areej Bin; Berri, Jawad; ","Context-aware recommender systems for social networks: review, challenges and opportunities",IEEE Access,9,,57440-57463,2021,IEEE
"Chen, Pengzhou; Gong, Jingzhi; Chen, Tao; ",Accuracy can lie: On the impact of surrogate model in configuration tuning,IEEE Transactions on Software Engineering,,,,2025,IEEE
"Uchôa, Anderson; Barbosa, Caio; Coutinho, Daniel; Oizumi, Willian; Assunçao, Wesley KG; Vergilio, Silvia Regina; Pereira, Juliana Alves; Oliveira, Anderson; Garcia, Alessandro; ",Predicting design impactful changes in modern code review: A large-scale empirical study,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),,,471-482,2021,IEEE
"Horcas, Jose-Miguel; Galindo, José A; Heradio, Ruben; Fernandez-Amoros, David; Benavides, David; ",A Monte Carlo tree search conceptual framework for feature model analyses,Journal of Systems and Software,195,,111551,2023,Elsevier
"Acher, Mathieu; Martinez, Jabier; ",Generative ai for reengineering variants into software product lines: an experience report,Proceedings of the 27th ACM International Systems and Software Product Line Conference-Volume B,,,57-66,2023,
"Horcas, Jose-Miguel; Strüber, Daniel; Burdusel, Alexandru; Martinez, Jabier; Zschaler, Steffen; ",We’re not gonna break it! consistency-preserving operators for efficient product line configuration,IEEE Transactions on Software Engineering,49,3,1102-1117,2022,IEEE
"Hossen, Md Abir; Kharade, Sonam; Schmerl, Bradley; Cámara, Javier; O'Kane, Jason M; Czaplinski, Ellen C; Dzurilla, Katherine A; Garlan, David; Jamshidi, Pooyan; ",C a RE: Finding Root Causes of Configuration Issues in Highly-Configurable Robots,IEEE Robotics and Automation Letters,8,7,4115-4122,2023,IEEE
"Kumara, Indika; Ariz, Mohamed Hameez; Chhetri, Mohan Baruwal; Mohammadi, Majid; Van Den Heuvel, Willem-Jan; Tamburri, Damian A; ",FOCloud: feature model guided performance prediction and explanation for deployment configurable cloud applications,IEEE Transactions on Services Computing,16,1,302-314,2022,IEEE
"Felfernig, Alexander; Le, Viet-Man; Popescu, Andrei; Uta, Mathias; Tran, Thi Ngoc Trang; Atas, Müslüm; ",An overview of recommender systems and machine learning in feature modeling and configuration,Proceedings of the 15th International Working Conference on Variability Modelling of Software-Intensive Systems,,,1-8,2021,
"Strüder, Stefan; Mukelabai, Mukelabai; Strüber, Daniel; Berger, Thorsten; ",Feature-oriented defect prediction,Proceedings of the 24th ACM conference on systems and software product line: Volume A-Volume A,,,1-12,2020,
"Felfernig, Alexander; Falkner, Andreas; Benavides, David; ","Feature Models: AI-Driven Design, Analysis and Applications",,,,,2024,Springer Nature
"Randrianaina, Georges Aaron; Tërnava, Xhevahire; Khelladi, Djamel Eddine; Acher, Mathieu; ",On the benefits and limits of incremental build of software configurations: an exploratory study,Proceedings of the 44th International Conference on Software Engineering,,,1584-1596,2022,
"Peldszus, Sven; Brugali, Davide; Strüber, Daniel; Pelliccione, Patrizio; Berger, Thorsten; ",Software reconfiguration in robotics,Empirical Software Engineering,30,3,1-51,2025,Springer
"Lesoil, Luc; Acher, Mathieu; Tërnava, Xhevahire; Blouin, Arnaud; Jézéquel, Jean-Marc; ",The interplay of compile-time and run-time options for performance prediction,Proceedings of the 25th ACM International Systems and Software Product Line Conference-Volume A,,,100-111,2021,
"Xia, Yuanjie; Ding, Zishuo; Shang, Weiyi; ",CoMSA: A Modeling-Driven Sampling Approach for Configuration Performance Testing,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),,,1352-1363,2023,IEEE
"Huyghe, Maxime; Rudametkin, Walter; Quinton, Clément; ",FP-Rainbow: Fingerprint-Based Browser Configuration Identification,Proceedings of the ACM on Web Conference 2025,,,4325-4335,2025,
"Iqbal, Md Shahriar; Su, Jianhai; Kotthoff, Lars; Jamshidi, Pooyan; ",Flexibo: Cost-aware multi-objective optimization of deep neural networks,arXiv preprint arXiv:2001.06588,,,,2020,
"Martin, Hugo; Acher, Mathieu; Pereira, Juliana Alves; Jézéquel, Jean-Marc; ",A comparison of performance specialization learning for configurable systems,Proceedings of the 25th ACM international systems and software product line conference-volume A,,,46-57,2021,
"Guégain, Edouard; Taherkordi, Amir; Quinton, Clément; ",Configuration optimization with limited functional impact,International Conference on Advanced Information Systems Engineering,,,53-68,2023,Springer
"Medeiros, Raul; Díaz, Oscar; Benavides, David; ",Unleashing the power of implicit feedback in software product lines: Benefits ahead,Proceedings of the 22nd ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences,,,113-121,2023,
"Tavassoli, Shaghayegh; Damasceno, Carlos Diego N; Khosravi, Ramtin; Mousavi, Mohammad Reza; ",Adaptive behavioral model learning for software product lines,Proceedings of the 26th ACM International Systems and Software Product Line Conference-Volume A,,,142-153,2022,
"Lesoil, Luc; Acher, Mathieu; Blouin, Arnaud; Jézéquel, Jean-Marc; ",Input sensitivity on the performance of configurable systems an empirical study,Journal of Systems and Software,201,,111671,2023,Elsevier
"Mahdavi-Hezaveh, Rezvan; Fatima, Sameeha; Williams, Laurie; ",Paving a Path for a Combined Family of Feature Toggle and Configuration Option Research,ACM Transactions on Software Engineering and Methodology,33,7,1-27,2024,"ACM New York, NY"
"König, Christoph; Rosiak, Kamil; Cleophas, Loek; Schaefer, Ina; ",True variability shining through taxonomy mining,Proceedings of the 27th ACM International Systems and Software Product Line Conference-Volume A,,,182-193,2023,
"Silva, Publio; Bezerra, Carla; Machado, Ivan; ",Automating Feature Model maintainability evaluation using machine learning techniques,Journal of Systems and Software,195,,111539,2023,Elsevier
"Grohmann, Johannes; Seybold, Daniel; Eismann, Simon; Leznik, Mark; Kounev, Samuel; Domaschka, Jörg; ",Baloo: Measuring and modeling the performance configurations of distributed dbms,"2020 28th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)",,,1-8,2020,IEEE
"Friesel, Birte; Spinczyk, Olaf; ",Black-box models for non-functional properties of AI software systems,Proceedings of the 1st International Conference on AI Engineering: Software Engineering for AI,,,170-180,2022,
"Lesoil, Luc; Spieker, Helge; Gotlieb, Arnaud; Acher, Mathieu; Temple, Paul; Blouin, Arnaud; Jézéquel, Jean-Marc; ",Learning input-aware performance models of configurable systems: An empirical evaluation,Journal of Systems and Software,208,,111883,2024,Elsevier
"Lamsellak, Hajar; Belkasmi, Mohammed Ghaouth; ",Global software development agile planning model: challenges and current trends,Indonesian Journal of Electrical Engineering and Computer Science,32,3,1774-1784,2023,
"Nguyen, Thu-Trang; Zhang, Xiao-Yi; Arcaini, Paolo; Ishikawa, Fuyuki; Vo, Hieu Dinh; ",Automated program repair for variability bugs in software product line systems,Journal of Systems and Software,221,,112152,2025,Elsevier
"Stöckle, Patrick; Wasserer, Theresa; Grobauer, Bernd; Pretschner, Alexander; ",Automated identification of security-relevant configuration settings using NLP,Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,,,1-5,2022,
"Li, Yufei; Bao, Liang; Huang, Kaipeng; Wu, Chase; ",CSAT: Configuration structure-aware tuning for highly configurable software systems,Journal of Systems and Software,222,,112316,2025,Elsevier
"Martinez, Jabier; Strüber, Daniel; Horcas, Jose Miguel; Burdusel, Alexandru; Zschaler, Steffen; ",Acapulco: An extensible tool for identifying optimal and consistent feature model configurations,Proceedings of the 26th ACM International Systems and Software Product Line Conference-Volume B,,,50-53,2022,
"Acher, Mathieu; ",A demonstration of end-user code customization using generative ai,Proceedings of the 18th International Working Conference on Variability Modelling of Software-Intensive Systems,,,139-145,2024,
"Temple, Paul; Perrouin, Gilles; Acher, Mathieu; Biggio, Battista; Jézéquel, Jean-Marc; Roli, Fabio; ",Empirical assessment of generating adversarial configurations for software product lines,Empirical Software Engineering,26,,1-49,2021,Springer
"Schmid, Larissa; Sağlam, Timur; Selzer, Michael; Koziolek, Anne; ",Cost-Efficient Construction of Performance Models,"Proceedings of the 4th Workshop on Performance EngineeRing, Modelling, Analysis, and VisualizatiOn STrategy",,,1-7,2024,
"Fiyouzisabah, Zahra; Galasso, Jessie; Fokaefs, Marios; Famelis, Michalis; ",Towards Rapid Design of Compartmental Models,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,,,1041-1045,2024,
"Randrianaina, Georges Aaron; Khelladi, Djamel Eddine; Zendra, Olivier; Acher, Mathieu; ",Towards incremental build of software configurations,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,,,101-105,2022,
"Gong, Jingzhi; ",Pushing the Boundary: Specialising Deep Configuration Performance Learning,arXiv preprint arXiv:2407.02706,,,,2024,
"Li, Yufei; Bao, Liang; Huang, Kaipeng; Wu, Chase; Li, Xinwei; ",RSFIN: A Rule Search-based Fuzzy Inference Network for performance prediction of configurable software systems,Journal of Systems and Software,209,,111913,2024,Elsevier
"Friesel, Birte; Elmenhorst, Kathrin; Kaiser, Lennart; Müller, Michael; Spinczyk, Olaf; ",kconfig-webconf: retrofitting performance models onto kconfig-based software product lines,Proceedings of the 26th ACM International Systems and Software Product Line Conference-Volume B,,,58-61,2022,
"Felfernig, Alexander; Falkner, Andreas; Benavides, David; ",Feature Modelling,"Feature Models: AI-Driven Design, Analysis and Applications",,,13-43,2024,Springer
"Acher, Mathieu; Combemale, Benoit; Randrianaina, Georges Aaron; Jézéquel, Jean-Marc; ",Embracing Deep Variability For Reproducibility and Replicability,Proceedings of the 2nd ACM Conference on Reproducibility and Replicability,,,30-35,2024,
"Friesel, Birte; Spinczyk, Olaf; ",Regression model trees: Compact energy models for complex IoT devices,2022 Workshop on Benchmarking Cyber-Physical Systems and Internet of Things (CPS-IoTBench),,,1-6,2022,IEEE
"Burgstaller, Tamim; Garber, Damian; Le, Viet-Man; Felfernig, Alexander; ","Optimization Space Learning: A Lightweight, Noniterative Technique for Compiler Autotuning",Proceedings of the 28th ACM International Systems and Software Product Line Conference,,,36-46,2024,
"Lesoil, Luc; Acher, Mathieu; Blouin, Arnaud; Jézéquel, Jean-Marc; ",The Interaction between inputs and configurations fed to software systems: An empirical study,arXiv preprint arXiv:2112.07279,,,,2021,
"Fernandez-Amoros, David; Heradio, Ruben; Horcas Aguilera, Jose Miguel; Galindo, José A; Benavides, David; Fuentes, Lidia; ",Pragmatic Random Sampling of the Linux Kernel: Enhancing the Randomness and Correctness of the conf Tool,Proceedings of the 28th ACM International Systems and Software Product Line Conference,,,24-35,2024,
"Guégain, Edouard; Bonvoisin, Alexandre; Quinton, Clément; Acher, Mathieu; Rouvoy, Romain; ",Exploring Performance Trade-offs in JHipster,arXiv preprint arXiv:2409.16480,,,,2024,
"Iqbal, Md Shahriar; Krishna, Rahul; Javidian, Mohammad Ali; Ray, Baishakhi; Jamshidi, Pooyan; ",CADET: Debugging and fixing misconfigurations using counterfactual reasoning,arXiv preprint arXiv:2010.06061,,,,2021,
"Garber, Damian; Burgstaller, Tamim; Felfernig, Alexander; Le, Viet-Man; Lubos, Sebastian; Tran, Trang; Erdeniz, Seda Polat; ",Collaborative Recommendation of Search Heuristics For Constraint Solvers.,ConfWS,23,,25th,2023,
"Güthing, Lukas; Pett, Tobias; Schaefer, Ina; ",Out-of-the-Box Prediction of Non-Functional Variant Properties Using Automated Machine Learning,Proceedings of the 28th ACM International Systems and Software Product Line Conference,,,82-87,2024,
"Krishna, Rahul; Iqbal, Md Shahriar; Javidian, Mohammad Ali; Ray, Baishakhi; Jamshidi, Pooyan; ",Cadet: Debugging and fixing misconfigurations using counterfactual reasoning,arXiv preprint arXiv:2010.06061,,,,2020,
"Damasceno, Carlos Diego N; Strüber, Daniel; ",Family-Based Fingerprint Analysis: A Position Paper,A Journey from Process Algebra via Timed Automata to Model Learning: Essays Dedicated to Frits Vaandrager on the Occasion of His 60th Birthday,,,137-150,2022,Springer
"Sondur, Sanjeev; Kant, Krishna; ",Performance health index for complex cyber infrastructures,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,7,1,1-32,2022,"ACM New York, NY"
"Guégain, Édouard; Bonvoisin, Alexandre; Acher, Mathieu; Quinton, Clément; Rouvoy, Romain; ",Exploring Performance of Configurable Software Systems: the JHipster Case Study,EASE'25-29th International Conference on Evaluation and Assessment in Software Engineering,,,,2025,
"Felfernig, Alexander; Falkner, Andreas; Benavides, David; ",Tools and Applications,"Feature Models: AI-Driven Design, Analysis and Applications",,,95-120,2024,Springer
"Ding, Yi; Pervaiz, Ahsan; Krishnan, Sanjay; Hoffmann, Henry; ",Bayesian learning for hardware and software configuration co-optimization,"Univ. Chicago Dept. Comput. Sci., Tech. Rep. TR-2020–13",,,,2020,
"Randrianaina, Georges Aaron; Khelladi, Djamel Eddine; Zendra, Olivier; Acher, Mathieu; ",Pyrobuilds: Enabling efficient exploration of linux configuration space with incremental build,,,,,2023,
"Grohmann, Johannes Sebastian; ",Model Learning for Performance Prediction of Cloud-native Microservice Applications,,,,,2022,Universität Würzburg
"Ritz, Benjamin; Felfernig, Alexander; Le, Viet-Man; Lubos, Sebastian; ",Solving Multi-Configuration Problems: A Performance Analysis with Choco Solver,arXiv preprint arXiv:2310.02658,,,,2023,
"Mittermaier, Michael; Saber, Takfarinas; Botterweck, Goetz; ",Learning Graph Configuration Spaces with Graph Embedding in Engineering Domains,"International Conference on Machine Learning, Optimization, and Data Science",,,334-348,2023,Springer
"Tërnava, Xhevahire; Acher, Mathieu; Combemale, Benoit; ",Specialization of run-time configuration space at compile-time: An exploratory study,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,,,1459-1468,2023,
"Alexander, Felfernig; Andreas, Falkner; David, Benavides; ","Feature models: AI-driven design, analysis and applications",,,,,2024,Springer Nature
"Rodrigues, João Marcello Bessa; Pereira, Juliana Alves; ",Effect of Feature Subset Selection on Samplings for Performance Prediction of Configurable Systems,Simpósio Brasileiro de Sistemas de Informação (SBSI),,,164-173,2024,SBC
"Friesel, Birte; Spinczyk, Olaf; ",Performance-Aware Behaviour Models for Feature-Dependent Runtime Attributes in Product Lines,,,,,2025,
"El Amraoui, Yassine; ",Facilitating human inclusion in the data science process: from capturing business requirements to designing an operational machine learning workflow,,,,,2024,Université Côte d'Azur
"Quinton, Clément; ","Evolving, Adapting and Optimizing Configurable Software Systems",,,,,2024,University of Lille
"Munoz, Daniel-Jesus; Pinto, Mónica; Gurov, Dilian; Fuentes, Lidia; ",Defining categorical reasoning of numerical feature models with feature-wise and variant-wise quality attributes,Proceedings of the 26th ACM International Systems and Software Product Line Conference-Volume B,,,132-139,2022,
"Garber, Damian; Felfernig, Alexander; Le, Viet-Man; Burgstaller, Tamim; El-Mansi, Merfat; ",An extensive comparison of preprocessing methods in the context of configuration space learning,Configuration (ConfWS 2024) co-located with the 30th,,,81,2024,
"Guégain, Edouard; ",Configuration-driven Software Optimization,,,,,2023,Université de Lille
"Hezaveh, Rezvan Mahdavi; ",A Comprehensive Model of Software Configuration,,,,,2023,North Carolina State University
"Stöckle, Patrick; ",A Holistic Approach for Security Configuration,,,,,2024,Technische Universität München
"Friesel, Daniel; Spinczyk, Olaf; ",Performance is not boolean: Supporting scalar configuration variables in nfp models,Tagungsband des FG-BS Frühjahrstreffens 2022,,,10.18420/fgbs2022f-03,2022,Gesellschaft für Informatik eV
"Muñoz-Guerra, Daniel Jesús; Pinto-Alarcón, Mónica; Gurov, Dilian; Fuentes-Fernández, Lidia; ",Defining Categorical Reasoning of Numerical Feature Models with Feature-Wise and Variant-Wise Quality Attributes,,,,,2022,ACM
"Horcas-Aguilera, José Miguel; Strüber, Daniel; Burdusel, Alexandru; Martínez, Jabier; Zschaler, Steffen; ",We’re Not Gonna Break It! Consistency-Preserving Operators for Efficient Product Line Configuration,,,,,2023,IEEE
"Mukelabai, Mukelabai; ",Facilitating Feature-Oriented Quality Assurance in Low-Maturity Variant-Rich Systems,,,,,2022,
"Xia, Yuanjie; Liao, Lizhi; Chen, Jinfu; Li, Heng; Shang, Weiyi; ",Reducing the Length of Field-replay Based Load Testing,IEEE Transactions on Software Engineering,,,,2024,IEEE
"TRANG, NGUYEN THU; ",Automated Localization and Repair for Variability Faults in Software Product Lines,,,,,,
"Randrianaina, Georges Aaron; Khelladi, Djamel Eddine; Zendra, Olivier; Acher, Mathieu; ",Pyrobuilds: Speeding Up the Exploration of Large Configuration Spaces with Incremental Build,Available at SSRN 5149719,,,,,
"Fernandez-Amoros, David; Heradio, Ruben; Horcas, Jose-Miguel; Galindo, José A; Benavides, David; Fuentes, Lidia; ",Pragmatic Random Sampling of Kconfig-Based Systems: A Unified Approach,Available at SSRN 5149686,,,,,
"Maumet, Camille; ",Towards reproducible neuroimaging: Solutions for sharing and re-using brain imaging data,,,,,2024,University of Rennes
"Quinton, Clément; ","Evolution, Adaptation et Optimisation de Systèmes Logiciel Configurables",,,,,2024,
"Guégain, Edouard; Bonvoisin, Alexandre; Acher, Mathieu; Quinton, Clément; Rouvoy, Romain; ",On the Interplay between Performance Indicators in Configurable Software: The Jhipster Case Study,Available at SSRN 4640065,,,,,
"Guégain, Edouard; ",Optimisation de logiciels par leur configuration,,,,,2023,
"Mukelabai, Mukelabai; Strüder, Stefan; Strüber, Daniel; Berger, Thorsten; ","Feature-Oriented Defect Prediction: Scenarios, Metrics, and Classifiers",arXiv preprint arXiv:2104.06161,,,,2021,
"Acher, Mathieu; ",Habilitation à diriger des recherches,,,,,,
"Acher, Mathieu; ","Modelling, Reverse Engineering, and Learning Software Variability",,,,,2021,Université de Rennes 1
"Martin, Hugo; ",Machine learning for performance modelling on colossal software configuration spaces,,,,,2021,Université de Rennes
"Uchôa, Anderson Gonçalves; ",Unveiling Social and Technical Facets of Design Degradation in Modern Code Review,,,,,2021,PUC-Rio
"Horcas, Jose-Miguel; Márquez, A Germán; Galindo, José A; Benavides, David; ",Monte Carlo Simulations for Variability Analyses in Highly Configurable Systems,,,,,2021,
"Mühlbauer, M Sc Stefan; ",Software Performance Modeling for Multi-Factor System Variability,,,,,,
"Oh, Jeho; Zilmano, Oleg; ",Scalable Performance Models for Highly Configurable Systems,,,,,,
"Lesoil, Luc; ",Deep software variability for resilient performance models of configurable systems,,,,,2023,Université de Rennes
